id,symbol,rarity,type,category,name
128672318,Iron,1,Raw,4,Iron
128672319,Nickel,1,Raw,5,Nickel
128672320,Tin,3,Raw,4,Tin
128672321,Zinc,2,Raw,4,Zinc
128672322,Carbon,1,Raw,1,Carbon
128672323,Sulphur,1,Raw,3,Sulphur
128672324,Phosphorus,1,Raw,2,Phosphorus
128672325,Manganese,2,Raw,3,Manganese
128672326,Selenium,4,Raw,4,Selenium
128672327,Chromium,2,Raw,2,Chromium
128672328,Vanadium,2,Raw,1,Vanadium
128672329,Germanium,2,Raw,5,Germanium
128672330,Cadmium,3,Raw,3,Cadmium
128672331,Tungsten,3,Raw,5,Tungsten
128672332,Arsenic,2,Raw,6,Arsenic
128672333,Molybdenum,3,Raw,2,Molybdenum
128672334,Niobium,3,Raw,1,Niobium
128672335,Zirconium,2,Raw,7,Zirconium
128672336,Mercury,3,Raw,6,Mercury
128672337,Yttrium,4,Raw,1,Yttrium
128672338,Tellurium,4,Raw,5,Tellurium
128672339,Polonium,4,Raw,6,Polonium
128672340,Technetium,4,Raw,2,Technetium
128672341,Ruthenium,4,Raw,3,Ruthenium
128672342,Antimony,4,Raw,7,Antimony
128673877,GridResistors,1,Manufactured,Capacitors,Grid Resistors
128673878,CrystalShards,1,Manufactured,Crystals,Crystal Shards
128673879,TemperedAlloys,1,Manufactured,Thermic,Tempered Alloys
128673880,BasicConductors,1,Manufactured,Conductive,Basic Conductors
128673881,MechanicalScrap,1,Manufactured,Mechanical Components,Mechanical Scrap
128673882,HeatConductionWiring,1,Manufactured,Heat,Heat Conduction Wiring
128673883,WornShieldEmitters,1,Manufactured,Shielding,Worn Shield Emitters
128673884,CompactComposites,1,Manufactured,Composite,Compact Composites
128673885,SalvagedAlloys,1,Manufactured,Alloys,Salvaged Alloys
128673886,ChemicalStorageUnits,1,Manufactured,Chemical,Chemical Storage Units
128673887,HybridCapacitors,2,Manufactured,Capacitors,Hybrid Capacitors
128673888,UncutFocusCrystals,2,Manufactured,Crystals,Flawed Focus Crystals
128673889,HeatResistantCeramics,2,Manufactured,Thermic,Heat Resistant Ceramics
128673890,ConductiveComponents,2,Manufactured,Conductive,Conductive Components
128673891,MechanicalEquipment,2,Manufactured,Mechanical Components,Mechanical Equipment
128673892,HeatDispersionPlate,2,Manufactured,Heat,Heat Dispersion Plate
128673893,ShieldEmitters,2,Manufactured,Shielding,Shield Emitters
128673894,FilamentComposites,2,Manufactured,Composite,Filament Composites
